donor_id,full_name,gender,age,weight_kg,height_cm,blood_pressure,pulse_rate,latitude,longitude,bmi,hemoglobin_g_dl,medications,email,password_hash,mobile,city,blood_group,availability,months_since_first_donation,days_since_last_donation,total_donations,total_litres_donated,last_donation_date,show_rate,avg_response_time_hours,response_history,record_created
JD000001,جلاء بنو العريج,Male,39,72.9,165.1,123/82,80,31.936593,35.811057,26.75,13.4,None,dyaalhaby@example.net,85753e30ecb7aefbeab8c56ea7265ae3305a3a3f71bdf4ffe2e4f320020d7700,0782844053,Amman,A+,Yes,61,58,1,0.45,2025-11-16,0.86,10.8,['no_response'],2026-01-13 03:46:18
JD000002,بنفسج النشاشيبي,Male,48,92.7,167.1,119/75,76,31.272952,36.019881,33.2,13.8,Lisinopril,rja16@example.org,f227a60b7da80465740b46b70c99b129baea104beb20c0cd4c4a55931c4c8e8a,0772398962,Other,O-,Yes,14,56,3,1.35,2025-11-18,0.48,3.0,"['responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000003,طبّاع الدليم,Male,18,79.3,174.7,114/75,68,32.049878,35.9892,25.99,15.3,None,dbnw-hnyfp@example.net,dbf7de03ca336b8ea3c5d13da4bf9a77752e187c45d233e6567cb97ef05c294d,0783360532,Amman,A+,Yes,10,174,1,0.45,2025-07-23,0.84,2.9,['responded'],2026-01-13 03:46:18
JD000004,الأستاذ عفيف راجح,Male,33,87.5,163.2,133/79,61,32.536775,35.791296,32.86,13.2,None,xlwsy39@example.net,7fafb34697a86d979b7219c1f3f31fc33b7bfdc49425f72f5016667da63a8831,0792714500,Irbid,O+,Yes,107,225,8,3.6,2025-06-02,0.75,6.9,"['responded', 'no_response', 'no_response', 'responded', 'responded', 'responded', 'no_response', 'responded']",2026-01-13 03:46:18
JD000005,حليم الزرقان,Male,37,72.3,168.3,111/75,60,30.996318,36.497389,25.5,14.5,None,bnfsjalewalq@example.net,7f811e1d7ea42abc04846ee7650ed348234abcd239833108a7ac2eb251801a8a,0784010935,Other,O+,No,37,155,3,1.35,2025-08-11,0.74,7.8,"['no_response', 'responded', 'responded']",2026-01-13 03:46:18
JD000006,المهندس تامر بنو أمية,Male,23,72.4,180.2,110/77,66,31.981131,35.938543,22.28,12.7,None,naemalrbab@example.net,1cd1bbf938952ed19da6d48c86e1c47b1ab3d659dbf029970bcf7c8ca5b92d94,0795906681,Amman,B+,Yes,56,236,4,1.8,2025-05-22,0.83,0.0,"['responded', 'responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000007,رابح عكاوي,Male,34,86.7,182.2,126/76,75,31.939744,36.024997,26.09,13.2,None,lxmzayd@example.org,330e49167277225513d5b7d0aeb5003ad963494b8f7db264c2d20691fd450b39,0793930120,Amman,AB+,Yes,64,56,2,0.9,2025-11-18,0.68,3.6,"['no_response', 'responded']",2026-01-13 03:46:18
JD000008,الأستاذ فؤاد ابو عيد,Male,51,64.7,185.0,117/83,85,32.032042,35.90824,18.91,13.8,Aspirin,ywnsalnmr@example.org,b665dfe3a1601bba3ddf74ea4029b49d0bf842694dcfcadb4bcd4ba3a2ffc4e4,0772090454,Amman,A+,Yes,4,56,3,1.35,2025-11-18,0.82,1.0,"['responded', 'responded', 'no_response']",2026-01-13 03:46:18
JD000009,مرتضي ثقيف,Male,39,50.0,177.4,139/85,71,32.006537,36.083484,15.9,14.3,None,dzhykp@example.net,e343588a3813b4c9e2a3fd0e116cca4061c6c0b147906ec4814053e8fd7fa9f8,0779082597,Zarqa,A+,Yes,17,73,2,0.9,2025-11-01,0.84,10.6,"['responded', 'responded']",2026-01-13 03:46:18
JD000010,المهندس مُتولي عسير,Male,45,70.2,168.7,110/82,72,31.817252,35.999216,24.66,12.9,None,lbydaltrhy@example.org,bcfa8ce361e6e5573b16053084235ffeec19cbd2df1ac0ef3a9f22a8cdebdd8c,0771727793,Amman,B+,Yes,83,56,3,1.35,2025-11-18,0.76,2.7,"['responded', 'responded', 'no_response']",2026-01-13 03:46:18
